,products,company,price,weight,star_rating,total_comments,flavours,price_per_100g,per_kg_sell,adult,chicken,wet,from_oceon,fish,tuna,salmon,mackerel,shrimps,milk,can,gravy,pouch,liver,grilled,turkey,ham,vegan
44,"Purepet Adult Cat Food Combo of Mackerel, 1.2 kg &amp; Ocean Fish, 1.2 kg",purepet,378.0,1.2,4.2,178.0,"['Adult', 'Fish', 'Ocean', 'Mackerel']",31.5,56070.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"Whiskas Wet Food for Kittens (2-12 Months), Tuna in Jelly Flavour, 12 pouches (12 x 85g)",whiskas,,1.02,4.2,244.0,"['Tuna', 'Kitten', 'Wet', 'Jelly']",,,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,Royal Canin Fit 32 Adult Dry Cat Food 400 g,royal,320.0,0.4,4.3,95.0,"['Dry', 'Adult', 'Canin']",80.0,76000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"Kitty Yums Dry Persian Cat Food, Ocean Fish, 1.2kg",kitty,520.0,1.2,4.5,19.0,"['Dry', 'Fish', 'Ocean', 'Persian']",43.333333333333336,8233.33,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,"IAMS Proactive Health Premium Dry Food for Mother &amp; Kitten (2-12 Months) with Chicken, 400g",iams,243.0,0.4,4.1,27.0,"['Dry', 'Chicken', 'Kitten']",60.75,16402.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Farmina Pet Foods Matisse - Chicken &amp; Rice - Cat Dry Food - Adult (1.5kg),farmina,1230.0,1.5,4.6,149.0,"['Dry', 'Adult', 'Chicken', 'Matisse']",82.0,122180.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,"Sheba Premium Wet Food for Adult Cats, Skipjack &amp; Salmon Flavour, 12 Pouches (12 x 35g)",sheba,469.0,0.42,4.4,593.0,"['Adult', 'Wet', 'Salmon']",111.66666666666666,662183.33,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,"Sheba Premium Wet Food for Adult Cats, Fish &amp; Sasami Flavour, 12 Pouches (12 x 35g)",sheba,481.0,0.42,4.5,380.0,"['Adult', 'Fish', 'Wet']",114.52380952380952,435190.48,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,"Purepet Adult(+1 year) Dry Cat Food, Sea Food, 1.2kg",purepet,199.0,1.2,4.2,567.0,"['Dry', 'Adult', 'Sea']",16.583333333333332,94027.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,ME-O Dry Kitten CAT Food (Ocean Fish) 1.1 KG,me-o,389.0,1.1,4.3,386.0,"['Dry', 'Fish', 'Ocean', 'Kitten']",35.36363636363637,136503.64,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
